
"QS119EW - Households by deprivation dimensions"
"ONS Crown Copyright Reserved [from Nomis on 17 December 2025]"
"Population :","All households"
"Units      :","Households"
"Date       :","2011"
"Rural Urban:","Total"

"2011 ward","All categories: Classification of household deprivation","Household is not deprived in any dimension","Household is deprived in 1 dimension","Household is deprived in 2 dimensions","Household is deprived in 3 dimensions","Household is deprived in 4 dimensions"
"E05005653 : Spalding Castle",1120,399,382,274,60,5
"E05005654 : Spalding Monks House",2189,894,773,468,50,4
"E05005655 : Spalding St John's",2631,994,972,559,98,8
"E05005656 : Spalding St Mary's",1966,689,712,462,98,5
"E05005657 : Spalding St Paul's",2283,704,805,605,158,11
"E05005658 : Spalding Wygate",1918,834,678,359,46,1
"E05005659 : Sutton Bridge",1927,554,726,540,95,12
"E05005660 : The Saints",1020,376,365,235,42,2
"E05005661 : Whaplode and Holbeach St John's",1779,631,668,401,73,6
"E05005662 : All Saints",2225,1006,713,433,72,1
"E05005663 : Aveland",905,435,286,158,22,4
"E05005664 : Barrowby",840,398,287,140,15,0
"E05005665 : Belmont",2109,1156,647,276,27,3
"E05005666 : Bourne East",3580,1721,1111,640,101,7
"E05005667 : Bourne West",2531,1225,862,378,64,2
"E05005668 : Deeping St James",2985,1679,896,346,57,7
"E05005669 : Earlesfield",2861,929,1040,692,187,13
"E05005670 : Ermine",1214,624,391,176,22,1
"E05005671 : Forest",922,436,309,158,17,2
"E05005672 : Glen Eden",1038,536,319,151,30,2
"E05005673 : Grantham St John's",2766,1186,966,487,112,15
"E05005674 : Green Hill",1725,940,529,232,20,4
"E05005675 : Greyfriars",1833,829,572,335,88,9
"E05005676 : Harrowby",2432,795,833,629,168,7
"E05005677 : Heath",786,413,224,126,23,0
"E05005678 : Hillsides",868,503,250,86,26,3
"E05005679 : Isaac Newton",1042,486,334,167,52,3
"E05005680 : Lincrest",945,468,323,137,16,1
"E05005681 : Loveden",1017,550,317,130,20,0
"E05005682 : Market and West Deeping",2686,1301,842,464,74,5
"E05005683 : Morkery",1066,522,357,151,34,2
"E05005684 : Peascliffe",966,370,332,229,34,1
"E05005685 : Ringstone",1189,599,371,179,38,2
"E05005686 : St Anne's",2219,905,755,429,121,9
"E05005687 : St George's",1821,892,546,349,33,1
"E05005688 : St Mary's",2489,1201,820,391,70,7
"E05005689 : St Wulfram's",1907,856,598,372,74,7
"E05005690 : Saxonwell",999,511,319,148,20,1
"E05005691 : Stamford St John's",2459,1512,713,208,25,1
"E05005692 : Thurlby",885,490,270,107,16,2
"E05005693 : Toller",1130,499,385,199,47,0
"E05005694 : Truesdale",1911,1151,530,213,17,0
"E05005695 : Witham Valley",993,491,335,150,16,1
"E05005696 : Bardney",915,361,320,200,33,1
"E05005697 : Caistor",1428,635,480,264,49,0
"E05005698 : Cherry Willingham",1951,908,631,379,32,1
"E05005699 : Dunholme",1030,527,314,163,25,1
"E05005700 : Fiskerton",828,378,283,142,22,3
"E05005701 : Gainsborough East",2981,979,985,782,225,10
"E05005702 : Gainsborough North",2989,1216,969,631,168,5
"E05005703 : Gainsborough South-West",2246,751,755,533,196,11
"E05005704 : Hemswell",1033,477,338,180,38,0
"E05005705 : Kelsey",1089,542,359,153,33,2
"E05005706 : Lea",933,426,331,162,14,0
"E05005707 : Market Rasen",2443,1011,843,490,95,4
"E05005708 : Middle Rasen",1281,629,408,206,37,1
"E05005709 : Nettleham",2064,1075,667,286,34,2
"E05005710 : Saxilby",2245,1131,713,358,42,1
"E05005711 : Scampton",1229,701,367,134,26,1
"E05005712 : Scotter",2007,1025,708,232,40,2
"E05005713 : Stow",962,434,338,166,23,1
"E05005714 : Sudbrooke",1048,609,322,112,5,0
"E05005715 : Thonock",1138,485,389,223,40,1
"E05005716 : Torksey",1257,512,463,240,39,3
"E05005717 : Waddingham and Spital",1045,496,347,161,38,3
"E05005718 : Welton",2287,1203,713,325,45,1
"E05005719 : Wold View",958,430,309,176,42,1
"E05005720 : Yarborough",998,492,316,166,23,1
"E05005926 : Beanfield",1473,442,521,405,100,5
"E05005927 : Central",962,271,323,265,97,6
"E05005928 : Danesholme",1616,591,534,393,94,4
"E05005929 : East",3052,1043,1080,714,195,20
"E05005930 : Exeter",891,242,301,245,94,9
"E05005931 : Great Oakley",883,520,255,92,13,3
"E05005932 : Kingswood",2800,685,1033,747,307,28
"E05005933 : Lodge Park",1469,446,568,370,79,6
"E05005934 : Oakley Vale",3382,1883,1056,350,90,3
"E05005935 : Rowlett",1816,635,630,409,137,5
"E05005936 : Rural West",706,387,208,100,11,0
"E05005937 : Shire Lodge",1814,691,620,364,135,4
"E05005938 : Stanion and Corby Village",1191,451,400,272,63,5
"E05005939 : Tower Hill",1769,574,661,421,106,7
"E05005940 : Weldon and Gretton",1391,719,425,219,27,1
"E05005941 : Abbey North",3907,1890,1237,625,140,15
"E05005942 : Abbey South",1690,571,607,408,90,14
"E05005943 : Badby",824,474,255,90,5,0
"E05005944 : Barby and Kilsby",1362,739,426,173,23,1
"E05005945 : Boughton and Pitsford",682,402,192,75,13,0
"E05005946 : Brampton",742,439,223,74,5,1
"E05005947 : Braunston",776,382,273,106,15,0
"E05005948 : Brixworth",2349,1383,654,274,38,0
"E05005949 : Byfield",773,422,228,107,15,1
"E05005950 : Clipston",823,501,213,95,14,0
"E05005951 : Crick",745,412,233,86,14,0
"E05005952 : Drayton",2508,1023,904,453,117,11
"E05005953 : Flore",820,430,268,102,19,1
"E05005954 : Hill",2240,938,745,424,127,6
"E05005955 : Long Buckby",1808,913,552,295,45,3
"E05005956 : Moulton",1810,903,552,320,32,3
"E05005957 : Ravensthorpe",768,469,213,78,8,0
"E05005958 : Spratton",745,404,219,109,13,0
"E05005959 : Walgrave",824,452,254,102,16,0
"E05005960 : Weedon",1465,725,457,229,48,6
"E05005961 : Welford",794,469,239,75,11,0
"E05005962 : West Haddon and Guilsborough",903,526,262,99,14,2
"E05005963 : Woodford",1558,802,485,236,32,3
"E05005964 : Yelvertoft",731,366,261,95,8,1
"E05005965 : Barnwell",799,471,223,93,12,0
"E05005966 : Fineshade",903,475,287,123,15,3
"E05005967 : Higham Ferrers Chichele",1455,661,459,286,49,0
"E05005968 : Higham Ferrers Lancaster",2056,1073,618,307,56,2
"E05005969 : Irthlingborough John Pyel",1886,864,641,301,76,4
"E05005970 : Irthlingborough Waterloo",1682,696,539,371,71,5
"E05005971 : King's Forest",775,391,248,122,14,0
"E05005972 : Lower Nene",845,476,259,95,15,0
"E05005973 : Lyveden",874,449,282,121,22,0
"E05005974 : Oundle",2383,1276,715,330,62,0
"E05005975 : Prebendal",883,504,253,109,16,1
"E05005976 : Raunds Saxon",1950,974,614,295,62,5
"E05005977 : Raunds Windmill",1605,638,555,341,66,5
"E05005978 : Rushden Bates",1870,908,567,294,90,11
"E05005979 : Rushden Hayden",3332,1206,1155,743,211,17
"E05005980 : Rushden Pemberton",2777,1158,983,527,100,9
"E05005981 : Rushden Sartoris",1764,943,536,256,28,1
"E05005982 : Rushden Spencer",2561,1274,807,411,65,4
"E05005983 : Stanwick",858,460,271,109,18,0
"E05005984 : Thrapston Lakes",1906,982,593,270,58,3
"E05005985 : Thrapston Market",1610,899,466,206,37,2
"E05005986 : Woodford",888,424,304,131,29,0
"E05005987 : All Saints",3432,1537,1112,616,153,14
"E05005988 : Avondale Grange",2373,716,783,653,200,21
"E05005989 : Barton",1994,988,655,316,34,1
"E05008549 : Brambleside",1909,971,627,264,45,2
"E05005991 : Burton Latimer",3077,1403,977,600,90,7
"E05005992 : Desborough Loatland",2426,1206,765,375,76,4
"E05005993 : Desborough St Giles",1964,950,663,296,51,4
"E05005994 : Ise Lodge",2933,1509,967,399,56,2
"E05005995 : Northfield",1233,441,400,289,95,8
"E05005996 : Pipers Hill",2277,840,774,529,128,6
"E05008550 : Queen Eleanor and Buccleuch",1097,607,319,146,24,1
"E05005998 : Rothwell",3366,1447,1087,690,134,8
"E05005999 : St Michael's and Wicksteed",3425,1338,1121,740,203,23
"E05006000 : St Peter's",1912,1052,599,231,30,0
"E05006001 : Slade",2457,1406,669,321,58,3
"E05006002 : Welland",1149,627,347,153,18,4
"E05006003 : William Knibb",2677,940,896,631,192,18
"E05008824 : Abington",4214,2059,1277,627,223,28
"E05008825 : Billing",3401,1408,1135,640,197,21
"E05008826 : Boothville",1638,776,561,269,31,1
"E05008827 : Brookside",2155,577,772,564,201,41
"E05008828 : Castle",6892,2356,2427,1502,534,73
"E05008829 : Delapre and Briar Hill",6136,2530,2005,1206,359,36
"E05008830 : East Hunsbury",4144,2437,1206,429,64,8
"E05008831 : Eastfield",2292,781,783,532,177,19
"E05008832 : Headlands",1861,723,593,429,109,7
"E05008833 : Kings Heath",2108,560,702,583,232,31
"E05008834 : Kingsley",2296,959,784,418,126,9
"E05008835 : Kingsthorpe",2111,942,717,389,60,3
"E05008836 : Nene Valley",4106,2496,1116,422,67,5
"E05008837 : New Duston",4151,2058,1393,604,92,4
"E05008838 : Obelisk",1230,588,429,172,39,2
"E05008839 : Old Duston",3317,1331,1195,679,97,15
"E05008840 : Park",1874,1011,624,216,21,2
"E05008841 : Parklands",1984,794,734,398,57,1
"E05008842 : Phippsville",1818,967,518,262,60,11
"E05008843 : Rectory Farm",2128,872,755,381,111,9
"E05008844 : Riverside",1783,780,599,315,79,10
"E05008845 : Rushmills",1774,1010,547,185,31,1
"E05008846 : St David's",2106,636,700,540,214,16
"E05008847 : St James",2545,964,852,539,167,23
"E05008848 : Semilong",2681,964,890,575,223,29
"E05008849 : Spencer",2288,688,782,595,204,19
"E05008850 : Spring Park",1800,827,640,306,27,0
"E05008851 : Sunnyside",1877,729,601,425,114,8
"E05008852 : Talavera",4393,1502,1594,938,320,39
"E05008853 : Trinity",1618,788,485,280,58,7
"E05008854 : Upton",2271,1379,589,250,50,3
"E05008855 : West Hunsbury",1896,1035,558,250,49,4
"E05008856 : Westone",1843,706,614,440,79,4
"E05006027 : Astwell",776,457,224,80,15,0
"E05006028 : Blakesley and Cote",1435,843,419,152,20,1
"E05006029 : Blisworth and Roade",1845,823,624,342,55,1
"E05006030 : Brackley East",1835,942,613,260,20,0
"E05006031 : Brackley South",1826,865,617,265,71,8
"E05006032 : Brackley West",1653,1064,422,147,20,0
"E05006033 : Brafield and Yardley",1766,898,569,259,39,1
"E05006034 : Cosgrove and Grafton",827,449,260,99,19,0
"E05006035 : Danvers and Wardoun",1498,850,464,165,19,0
"E05006036 : Deanshanger",1581,899,463,189,29,1
"E05006037 : Grange Park",1562,1096,365,86,14,1
"E05006038 : Hackleton",907,503,277,120,7,0
"E05006039 : Harpole and Grange",1853,926,607,275,42,3
"E05006040 : Heyfords and Bugbrooke",1738,922,535,234,45,2
"E05006041 : Kings Sutton",904,435,297,143,28,1
"E05006042 : Kingthorn",714,387,191,121,13,2
"E05006043 : Little Brook",918,530,288,88,12,0
"E05006044 : Middleton Cheney",1539,763,499,254,21,2
"E05006045 : Old Stratford",822,465,245,99,12,1
"E05006046 : Salcey",891,497,257,120,17,0
"E05006047 : Silverstone",858,497,273,78,10,0
"E05006048 : Steane",845,472,262,99,12,0
"E05006049 : Tove",695,389,207,85,14,0
"E05006050 : Towcester Brook",2426,1237,730,371,83,5
"E05006051 : Towcester Mill",1449,872,415,132,25,5
"E05006052 : Washington",722,456,182,74,9,1
"E05006053 : Whittlewood",832,453,229,133,15,2
"E05008595 : Brickhill",2368,840,881,519,122,6
"E05006055 : Castle",3248,1160,1169,667,216,36
"E05006056 : Croyland",3164,1161,1117,684,192,10
"E05006057 : Earls Barton",2297,1155,762,329,50,1
"E05006058 : Finedon",1987,765,697,423,94,8
"E05008596 : Great Doddington and Wilby",791,368,274,134,15,0
"E05006060 : Hemmingwell",3276,1287,1133,675,165,16
"E05006061 : Irchester",2077,876,698,421,81,1
"E05006062 : North",994,482,310,172,29,1
"E05008597 : Queensway",2458,702,890,648,206,12
"E05006064 : Redwell East",1738,855,587,261,34,1
"E05006065 : Redwell West",1321,735,428,135,22,1
"E05006066 : South",890,423,295,160,11,1
"E05008598 : Swanspool",2964,965,964,758,241,36
"E05006068 : West",772,385,260,110,17,0
"E05006069 : Wollaston",1712,908,508,254,40,2
"E05006362 : Hucknall Central",3227,1292,1033,711,179,12
"E05006363 : Hucknall East",3566,1470,1057,771,243,25
"E05006364 : Hucknall North",3044,1290,968,646,134,6
"E05006365 : Hucknall West",3994,1577,1330,885,192,10
"E05006366 : Jacksdale",1347,515,451,312,66,3
"E05006367 : Kirkby in Ashfield Central",3048,1190,1011,702,135,10
"E05006368 : Kirkby in Ashfield East",2756,883,906,684,258,25
"E05006369 : Kirkby in Ashfield West",2845,1009,883,749,196,8
"E05006370 : Selston",2785,1096,888,649,141,11
"E05006371 : Sutton in Ashfield Central",4931,1503,1637,1348,404,39
"E05006372 : Sutton in Ashfield East",5277,1742,1713,1399,390,33
"E05006373 : Sutton in Ashfield North",4727,1672,1527,1211,300,17
"E05006374 : Sutton in Ashfield West",4973,2054,1535,1090,272,22
"E05006375 : Underwood",1295,524,434,284,51,2
"E05006376 : Woodhouse",3116,1189,1040,719,160,8
"E05006377 : Beckingham",994,448,350,171,25,0
"E05006378 : Blyth",951,467,311,148,23,2
"E05006379 : Carlton",2474,897,808,626,137,6
"E05006380 : Clayworth",822,390,259,151,22,0
"E05006381 : East Markham",990,488,328,153,20,1
"E05006382 : East Retford East",3097,1282,1088,578,141,8
"E05006383 : East Retford North",2793,1015,983,654,134,7
"E05006384 : East Retford South",1873,694,637,428,108,6
"E05006385 : East Retford West",2197,982,756,360,92,7
"E05006386 : Everton",947,496,303,124,24,0
"E05006387 : Harworth",3338,1104,1103,919,205,7
"E05006388 : Langold",1021,314,316,314,74,3
"E05006389 : Misterton",1032,488,323,193,28,0
"E05006390 : Rampton",840,384,272,159,24,1
"E05006391 : Ranskill",1010,460,338,174,36,2
"E05006392 : Sturton",961,513,284,144,20,0
"E05006393 : Sutton",868,420,289,133,24,2
"E05006394 : Tuxford and Trent",1832,761,603,398,67,3
"E05006395 : Welbeck",887,338,291,206,49,3
"E05006396 : Worksop East",2781,864,927,781,196,13
"E05006397 : Worksop North",3501,1688,1087,592,131,3
"E05006398 : Worksop North East",2777,1071,907,632,151,16
"E05006399 : Worksop North West",3264,1403,1008,608,221,24
"E05006400 : Worksop South",3008,1381,1000,503,116,8
"E05006401 : Worksop South East",3409,792,1095,1031,449,42
"E05006402 : Attenborough",1008,509,331,152,15,1
"E05006403 : Awsworth",950,394,340,178,37,1
"E05006404 : Beeston Central",2180,862,690,498,118,12
"E05006405 : Beeston North",2341,1055,736,435,108,7
"E05006406 : Beeston Rylands",2453,1155,723,423,135,17
"E05006407 : Beeston West",2373,1252,697,347,67,10
"E05006408 : Bramcote",3104,1686,949,431,36,2
"E05006409 : Brinsley",983,393,344,212,33,1
"E05006410 : Chilwell East",2124,1027,677,376,40,4
"E05006411 : Chilwell West",3356,1397,1068,714,163,14
"E05006412 : Cossall and Kimberley",2905,1282,907,593,119,4
"E05006413 : Eastwood North and Greasley (Beauvale)",1295,526,434,281,51,3
"E05006414 : Eastwood South",4027,1328,1300,1070,304,25
"E05006415 : Greasley (Giltbrook and Newthorpe)",2677,1216,830,560,69,2
"E05006416 : Nuthall East and Strelley",2022,1111,624,261,25,1
"E05006417 : Nuthall West and Greasley (Watnall)",2146,1034,623,419,67,3
"E05006418 : Stapleford North",2030,773,661,468,115,13
"E05006419 : Stapleford South East",2162,917,684,447,108,6
"E05006420 : Stapleford South West",2327,1022,794,404,98,9
"E05006421 : Toton and Chilwell Meadows",3350,1927,986,395,36,6
"E05006422 : Trowell",1007,493,320,175,17,2
"E05006423 : Bestwood Village",849,356,266,201,24,2
"E05006424 : Bonington",2967,1249,974,593,142,9
"E05006425 : Burton Joyce and Stoke Bardolph",1585,843,476,227,38,1
"E05006426 : Calverton",2987,1298,949,603,128,9
"E05006427 : Carlton",3135,1251,1054,646,165,19
"E05006428 : Carlton Hill",3151,1272,1062,663,147,7
"E05006429 : Daybrook",2294,823,745,554,159,13
"E05006430 : Gedling",2789,1270,926,511,80,2
"E05006431 : Killisick",1026,321,286,325,86,8
"E05006432 : Kingswell",2167,1072,674,354,66,1
"E05006433 : Lambley",927,470,315,135,7,0
"E05006434 : Mapperley Plains",3153,1510,1069,486,85,3
"E05006435 : Netherfield and Colwick",3451,1547,1070,636,182,16
"E05006436 : Newstead",949,427,295,180,41,6
"E05006437 : Phoenix",2019,857,714,355,84,9
"E05006438 : Porchester",3125,1582,920,471,140,12
"E05006439 : Ravenshead",2465,1354,783,294,32,2
"E05006440 : St James",1838,807,604,353,71,3
"E05006441 : St Marys",2781,1137,904,619,112,9
"E05006442 : Valley",1896,708,598,483,99,8
"E05006443 : Woodborough",886,417,285,146,33,5
"E05006444 : Woodthorpe",2909,1587,909,374,37,2
"E05008857 : Abbott",1100,344,360,305,83,8
"E05008858 : Berry Hill",1026,489,364,155,18,0
"E05008859 : Brick Kiln",1322,437,419,348,112,6
"E05008860 : Broomhill",1382,388,462,411,111,10
"E05008861 : Bull Farm and Pleasley Hill",1452,440,438,420,142,12
"E05008862 : Carr Bank",1448,400,498,388,147,15
"E05008863 : Eakring",1182,566,365,219,30,2
"E05008864 : Grange Farm",1214,509,437,223,44,1
"E05008865 : Holly",1241,609,402,205,24,1
"E05008866 : Hornby",1132,509,391,204,28,0
"E05008867 : Kings Walk",1198,830,264,88,16,0
"E05008868 : Kingsway",1286,474,412,333,64,3
"E05008869 : Ladybrook",1565,430,547,435,141,12
"E05008870 : Lindhurst",1228,591,421,185,30,1
"E05008871 : Ling Forest",1074,461,364,200,46,3
"E05008872 : Manor",1128,455,385,261,26,1
"E05008873 : Market Warsop",1315,386,407,426,93,3
"E05008874 : Maun Valley",1112,462,366,230,50,4
"E05008875 : Meden",1158,329,369,349,105,6
"E05008876 : Netherfield",1199,373,416,319,89,2
"E05008877 : Newgate",1366,383,437,377,158,11
"E05008878 : Newlands",1287,447,404,351,84,1
"E05008879 : Oak Tree",1277,263,363,449,185,17
"E05008880 : Oakham",1116,590,360,139,27,0
"E05008881 : Park Hall",1472,460,432,448,125,7
"E05008882 : Peafields",1179,484,333,284,76,2
"E05008883 : Penniment",1222,346,427,361,81,7
"E05008884 : Portland",1054,283,352,297,107,15
"E05008885 : Racecourse",1336,494,416,343,75,8
"E05008886 : Ransom Wood",1251,350,414,333,146,8
"E05008887 : Sandhurst",1246,583,393,213,56,1
"E05008888 : Sherwood",1081,408,326,270,73,4
"E05008889 : Warsop Carrs",1263,420,380,347,104,12
"E05008890 : Woodhouse",1423,329,446,468,164,16
"E05008891 : Woodlands",1039,340,335,289,70,5
"E05008892 : Yeoman Hill",1554,604,489,357,99,5
"E05006464 : Balderton North",2202,950,739,436,77,0
"E05006465 : Balderton West",2101,912,703,406,75,5
"E05006466 : Beacon",3141,1552,1019,455,106,9
"E05006467 : Blidworth",1870,682,565,474,143,6
"E05006468 : Boughton",2086,639,731,552,157,7
"E05006469 : Bridge",2132,790,736,449,148,9
"E05006470 : Castle",2328,923,797,451,140,17
"E05006471 : Caunton",937,483,286,146,20,2
"E05006472 : Clipstone",1827,712,547,434,122,12
"E05006473 : Collingham and Meering",1997,927,684,346,38,2
"E05006474 : Devon",2441,664,832,663,263,19
"E05006475 : Edwinstowe",2268,941,734,514,79,0
"E05006476 : Farndon",2524,1331,813,325,55,0
"E05006477 : Farnsfield and Bilsthorpe",3433,1609,1086,637,97,4
"E05006478 : Lowdham",1979,1088,590,274,26,1
"E05006479 : Magnus",2342,916,809,490,119,8
"E05006480 : Muskham",1029,536,355,119,19,0
"E05006481 : Ollerton",2860,936,931,790,195,8
"E05006482 : Rainworth",2904,1136,911,691,157,9
"E05006483 : Southwell East",1003,589,301,102,11,0
"E05006484 : Southwell North",1084,514,386,160,23,1
"E05006485 : Southwell West",1145,633,335,144,31,2
"E05006486 : Sutton-on-Trent",1032,522,324,157,27,2
"E05006487 : Trent",949,591,274,74,10,0
"E05006488 : Winthorpe",1159,612,364,157,26,0
"E05006489 : Abbey",1862,1115,485,240,20,2
"E05006490 : Bingham East",1926,1085,558,254,26,3
"E05006491 : Bingham West",1963,1024,586,291,58,4
"E05006492 : Compton Acres",1867,1228,471,150,18,0
"E05006493 : Cotgrave",2928,1311,956,552,103,6
"E05006494 : Cranmer",820,419,277,111,13,0
"E05006495 : Edwalton Village",1699,814,501,325,56,3
"E05006496 : Gamston",2199,1401,556,203,36,3
"E05006497 : Gotham",892,452,282,139,18,1
"E05006498 : Keyworth North",719,366,255,94,4,0
"E05006499 : Keyworth South",2260,1043,747,392,76,2
"E05006500 : Lady Bay",1973,1254,486,189,39,5
"E05006501 : Leake",2649,1352,883,365,46,3
"E05006502 : Lutterell",1760,853,540,326,38,3
"E05006503 : Manvers",1766,962,540,237,27,0
"E05006504 : Melton",2027,1325,454,209,38,1
"E05006505 : Musters",1563,977,421,141,21,3
"E05006506 : Nevile",772,438,242,84,7,1
"E05006507 : Oak",944,532,276,122,14,0
"E05006508 : Ruddington",3146,1659,937,462,82,6
"E05006509 : Soar Valley",861,492,246,104,16,3
"E05006510 : Stanford",1038,642,286,102,8,0
"E05006511 : Thoroton",851,521,239,83,8,0
"E05006512 : Tollerton",793,452,258,80,3,0
"E05006513 : Trent",2074,1026,672,328,47,1
"E05006514 : Trent Bridge",1992,979,568,312,115,18
"E05006515 : Wiverton",1625,859,497,231,38,0
"E05006516 : Wolds",866,545,223,87,10,1
"E05001842 : Aylestone",2894,1195,967,581,137,14
"E05001843 : Backbury",1287,662,391,180,53,1
"E05001844 : Belmont",4068,1451,1387,937,272,21
"E05001845 : Bircher",1226,606,431,161,28,0
"E05001846 : Bringsty",1190,583,399,165,39,4
"E05001847 : Bromyard",2598,1028,903,554,109,4
"E05001848 : Burghill, Holmer and Lyde",1320,691,426,180,22,1
"E05001849 : Castle",1351,653,447,221,29,1
"E05001850 : Central",1497,537,518,331,95,16
"E05001851 : Credenhill",1369,625,467,231,44,2
"E05001852 : Frome",1385,731,425,191,34,4
"E05001853 : Golden Cross with Weobley",1297,581,453,215,45,3
"E05001854 : Golden Valley North",1299,609,431,220,38,1
"E05001855 : Golden Valley South",1274,559,464,219,29,3
"E05001856 : Hagley",1471,806,459,168,35,3
"E05001857 : Hampton Court",1141,547,380,175,36,3
"E05001858 : Hollington",896,406,312,152,26,0
"E05001859 : Hope End",2399,1235,781,321,60,2
"E05001860 : Kerne Bridge",1320,637,444,201,35,3
"E05001861 : Kington Town",1459,583,501,296,71,8
"E05001862 : Ledbury",4315,1930,1471,763,143,8
"E05001863 : Leominster North",2497,869,911,554,152,11
"E05001864 : Leominster South",2687,969,940,579,183,16
"E05001865 : Llangarron",1372,708,434,193,35,2
"E05001866 : Mortimer",1389,672,470,200,45,2
"E05001867 : Old Gore",1304,675,431,169,29,0
"E05001868 : Pembridge and Lyonshall with Titley",1282,614,426,209,32,1
"E05001869 : Penyard",1425,703,487,188,44,3
"E05001870 : Pontrilas",1426,701,488,191,44,2
"E05001871 : Ross-on-Wye East",2236,932,773,444,78,9
"E05001872 : Ross-on-Wye West",2548,999,929,505,106,9
"E05001873 : St Martins and Hinton",5258,2000,1756,1133,329,40
"E05001874 : St Nicholas",3032,1395,969,535,123,10
"E05001875 : Stoney Street",1239,502,460,235,39,3
"E05001876 : Sutton Walls",1292,611,450,197,31,3
"E05001877 : Three Elms",4723,1890,1598,967,248,20
"E05001878 : Tupsley",3906,1823,1298,651,118,16
"E05001879 : Upton",1225,604,384,194,39,4
"E05001880 : Valletts",1318,588,443,232,47,8
"E05001881 : Wormsley Ridge",1104,559,383,131,29,2
"E05008136 : Abbey",1814,887,554,299,62,12
"E05008137 : Albrighton",2004,904,700,355,43,2
"E05008138 : Alveley and Claverley",1694,830,567,260,33,4
"E05008139 : Bagley",1941,1096,576,226,40,3
"E05008140 : Battlefield",1719,858,522,277,60,2
"E05008141 : Bayston Hill, Column and Sutton",5240,2574,1696,833,126,11
"E05008142 : Belle Vue",2186,1132,631,331,85,7
"E05008143 : Bishop's Castle",1621,739,559,261,60,2
"E05008144 : Bowbrook",1806,854,575,295,72,10
"E05008145 : Bridgnorth East and Astley Abbotts",3012,1420,958,529,99,6
"E05008146 : Bridgnorth West and Tasley",3089,1429,955,579,117,9
"E05008147 : Broseley",2139,858,692,485,97,7
"E05008148 : Brown Clee",1564,796,485,249,34,0
"E05008149 : Burnell",1742,938,557,201,44,2
"E05008150 : Castlefields and Ditherington",1993,737,620,488,136,12
"E05008151 : Cheswardine",1588,782,525,245,36,0
"E05008152 : Chirbury and Worthen",1262,575,457,199,29,2
"E05008153 : Church Stretton and Craven Arms",4059,1814,1426,664,150,5
"E05008154 : Clee",1893,863,634,320,71,5
"E05008155 : Cleobury Mortimer",2946,1358,944,551,89,4
"E05008156 : Clun",1744,787,633,263,57,4
"E05008157 : Copthorne",1662,913,540,190,18,1
"E05008158 : Corvedale",1544,753,512,239,39,1
"E05008159 : Ellesmere Urban",1706,675,608,355,63,5
"E05008160 : Harlescott",2039,747,658,497,126,11
"E05008161 : Highley",1583,602,545,369,64,3
"E05008162 : Hodnet",1412,684,453,217,54,4
"E05008163 : Llanymynech",1687,780,573,289,42,3
"E05008164 : Longden",1649,828,506,268,44,3
"E05008165 : Loton",1576,817,501,219,36,3
"E05008166 : Ludlow East",1845,693,634,398,108,12
"E05008167 : Ludlow North",1971,757,756,366,86,6
"E05008168 : Ludlow South",1813,834,607,299,69,4
"E05008169 : Market Drayton East",2158,897,689,454,105,13
"E05008170 : Market Drayton West",3694,1619,1186,707,174,8
"E05008171 : Meole",1742,842,524,296,72,8
"E05008172 : Rea Valley",1787,828,574,330,54,1
"E05008173 : Monkmoor",1904,690,646,429,125,14
"E05008174 : Much Wenlock",1729,835,550,277,63,4
"E05008175 : Oswestry East",3866,1578,1305,813,156,14
"E05008176 : Oswestry South",1990,869,665,358,90,8
"E05008177 : Oswestry West",1815,698,636,372,96,13
"E05008178 : Porthill",1854,1003,552,249,47,3
"E05008179 : Prees",1706,764,550,322,58,12
"E05008180 : Quarry and Coton Hill",2128,1006,707,300,100,15
"E05008181 : Radbrook",1848,912,608,263,51,14
"E05008182 : Ruyton and Baschurch",1507,829,452,195,28,3
"E05008183 : St Martin's",1768,762,558,367,76,5
"E05008184 : St Oswald",1774,929,554,253,37,1
"E05008185 : Gobowen, Selattyn and Weston Rhyn",2672,1126,896,531,112,7
"E05008186 : Severn Valley",1817,871,586,283,72,5
"E05008187 : Shawbury",1806,935,566,253,50,2
"E05008188 : Shifnal North",2058,958,580,428,83,9
"E05008189 : Shifnal South and Cosford",1971,1058,601,265,43,4
"E05008190 : Sundorne",1590,622,534,344,82,8
"E05008191 : Tern",1815,860,638,263,52,2
"E05008192 : The Meres",1748,898,556,251,42,1
"E05008193 : Underdale",1794,842,558,294,95,5
"E05008194 : Wem",3551,1492,1211,703,137,8
"E05008195 : Whitchurch North",3126,1232,1076,656,148,14
"E05008196 : Whitchurch South",1761,749,587,343,78,4
"E05008197 : Whittington",1651,758,552,275,65,1
"E05008198 : Worfield",1501,782,455,228,33,3
"E05008714 : Abbey Hulton and Townsend",4262,1112,1297,1373,454,26
"E05008715 : Baddeley, Milton and Norton",7609,2700,2457,1956,475,21
"E05008716 : Bentilee and Ubberley",4686,965,1451,1546,688,36
"E05008717 : Birches Head and Central Forest Park",5160,1870,1587,1264,398,41
"E05008718 : Blurton East",2312,722,780,630,171,9
"E05008719 : Blurton West and Newstead",2847,769,860,837,358,23
"E05008720 : Boothen and Oak Hill",2673,1032,884,565,178,14
"E05008721 : Bradeley and Chell Heath",2364,674,732,733,214,11
"E05008722 : Broadway and Longton East",2364,869,757,583,147,8
"E05008723 : Burslem Central",2880,807,935,783,322,33
