QS102EW - Population density,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,
,,
population,All usual residents,
E05001399 : Dewsbury South,"18,793",13.4
E05001400 : Dewsbury West,"20,021",38.3
E05001401 : Golcar,"18,033",32.4
E05001402 : Greenhead,"19,912",44.5
E05001403 : Heckmondwike,"16,986",33.7
E05008561 : Holme Valley North,"16,748",5.0
E05001405 : Holme Valley South,"18,932",3.1
E05008562 : Kirkburton,"16,601",3.5
E05001407 : Lindley,"19,274",27.7
E05001408 : Liversedge and Gomersal,"19,420",14.3
E05001409 : Mirfield,"19,563",14.5
E05001410 : Newsome,"19,837",23.4
E05001411 : Adel and Wharfedale,"19,430",6.7
E05001412 : Alwoodley,"22,766",11.3
E05001413 : Ardsley and Robin Hood,"22,204",11.9
E05001414 : Armley,"25,550",37.2
E05001415 : Beeston and Holbeck,"22,187",31.7
E05001416 : Bramley and Stanningley,"21,334",31.8
E05001417 : Burmantofts and Richmond Hill,"24,843",54.3
E05001418 : Calverley and Farsley,"22,594",17.1
E05001419 : Chapel Allerton,"23,536",45.8
E05001420 : City and Hunslet,"33,705",31.8
E05001421 : Cross Gates and Whinmoor,"22,099",18.4
E05001422 : Farnley and Wortley,"24,213",18.9
E05001423 : Garforth and Swillington,"19,811",8.3
E05001424 : Gipton and Harehills,"27,078",74.1
E05001425 : Guiseley and Rawdon,"22,347",11.1
E05001426 : Harewood,"18,363",1.7
E05001427 : Headingley,"20,533",103.7
E05001428 : Horsforth,"21,506",18.6
E05001429 : Hyde Park and Woodhouse,"25,914",67.0
E05001430 : Killingbeck and Seacroft,"23,749",35.4
E05001431 : Kippax and Methley,"21,116",5.0
E05001432 : Kirkstall,"21,709",40.0
E05001433 : Middleton Park,"26,228",26.3
E05001434 : Moortown,"22,792",40.5
E05001435 : Morley North,"22,692",17.2
E05001436 : Morley South,"21,748",16.7
E05001437 : Otley and Yeadon,"22,233",9.3
E05001438 : Pudsey,"22,408",23.7
E05001439 : Rothwell,"20,354",10.3
E05001440 : Roundhay,"22,546",25.7
E05001441 : Temple Newsam,"21,543",11.2
E05001442 : Weetwood,"22,375",29.6
E05001443 : Wetherby,"19,979",4.1
"E05001444 : Ackworth, North Elmsall and Upton","16,099",3.1
E05001445 : Airedale and Ferry Fryston,"14,811",20.4
E05001446 : Altofts and Whitwood,"16,267",10.7
E05001447 : Castleford Central and Glasshoughton,"15,306",21.2
"E05001448 : Crofton, Ryhill and Walton","15,144",4.7
E05001449 : Featherstone,"15,946",8.3
E05001450 : Hemsworth,"15,350",7.1
E05001451 : Horbury and South Ossett,"15,032",22.9
E05001452 : Knottingley,"13,710",10.5
E05001453 : Normanton,"16,220",12.2
E05001454 : Ossett,"16,116",13.2
E05001455 : Pontefract North,"15,831",13.1
E05001456 : Pontefract South,"15,050",7.3
E05001457 : South Elmsall and South Kirkby,"17,624",11.6
E05001458 : Stanley and Outwood East,"15,314",11.0
E05001459 : Wakefield East,"15,751",34.5
E05001460 : Wakefield North,"15,673",33.9
E05001461 : Wakefield Rural,"17,032",3.9
E05001462 : Wakefield South,"13,556",16.8
E05001463 : Wakefield West,"15,470",22.9
E05001464 : Wrenthorpe and Outwood West,"14,535",14.1
E05001767 : Abbey,"15,334",58.9
E05001768 : Allestree,"13,622",21.0
E05001769 : Alvaston,"16,255",23.1
E05001770 : Arboretum,"18,590",54.5
E05001771 : Blagreaves,"13,055",38.9
E05001772 : Boulton,"13,874",43.4
E05001773 : Chaddesden,"13,413",34.5
E05001774 : Chellaston,"15,198",29.9
E05001775 : Darley,"14,897",28.9
E05001776 : Derwent,"14,102",27.5
E05001777 : Littleover,"14,375",26.3
E05001778 : Mackworth,"14,180",49.6
E05001779 : Mickleover,"14,022",31.9
E05001780 : Normanton,"17,071",75.4
E05001781 : Oakwood,"13,259",46.4
E05001782 : Sinfin,"15,128",22.0
E05001783 : Spondon,"12,377",15.5
E05001784 : Abbey,"14,926",28.5
E05001785 : Aylestone,"11,151",29.2
E05001786 : Beaumont Leys,"16,480",18.5
E05001787 : Belgrave,"11,558",86.9
E05001788 : Braunstone Park and Rowley Fields,"18,173",41.4
E05001789 : Castle,"22,901",55.4
E05001790 : Charnwood,"13,291",84.7
E05001791 : Coleman,"14,669",78.9
E05001792 : Evington,"11,133",26.0
E05001793 : Eyres Monsell,"11,520",49.8
E05001794 : Fosse,"13,072",73.5
E05001795 : Freemen,"10,949",40.6
E05001796 : Humberstone and Hamilton,"18,854",36.0
E05001797 : Knighton,"16,805",40.5
E05001798 : Latimer,"12,457",81.7
E05001799 : New Parks,"17,128",35.8
E05001800 : Rushey Mead,"15,962",29.3
E05001801 : Spinney Hills,"25,571",115.0
E05001802 : Stoneygate,"20,390",110.6
E05001803 : Thurncourt,"10,596",52.2
E05001804 : Westcotes,"11,644",80.7
E05001805 : Western Park,"10,609",45.5
E05001822 : Arboretum,"13,321",76.0
E05001823 : Aspley,"17,622",62.5
E05001824 : Basford,"16,207",42.8
E05001825 : Berridge,"18,651",76.0
E05001826 : Bestwood,"16,753",57.0
E05001827 : Bilborough,"16,792",32.8
E05001828 : Bridge,"14,669",32.4
E05001829 : Bulwell,"16,157",30.1
E05001830 : Bulwell Forest,"13,614",41.1
E05001831 : Clifton North,"12,888",28.0
E05001832 : Clifton South,"13,947",32.1
E05001833 : Dales,"16,754",32.5
E05001834 : Dunkirk and Lenton,"10,920",20.9
E05001835 : Leen Valley,"10,702",35.2
E05001836 : Mapperley,"15,846",43.9
E05001837 : Radford and Park,"21,414",88.6
E05001838 : St Ann's,"19,316",76.1
E05001839 : Sherwood,"15,414",48.3
E05001840 : Wollaton East and Lenton Abbey,"9,952",34.6
E05001841 : Wollaton West,"14,741",26.6
E05001806 : Braunston and Belton,"1,283",0.3
E05001807 : Cottesmore,"2,646",1.0
E05001808 : Exton,"1,404",0.3
E05001809 : Greetham,"2,064",0.5
E05001810 : Ketton,"2,829",0.9
E05001811 : Langham,"1,371",1.2
E05001812 : Lyddington,"1,274",0.4
E05001813 : Martinsthorpe,"1,118",0.5
E05001814 : Normanton,"3,373",0.8
E05001815 : Oakham North East,"3,113",24.2
E05001816 : Oakham North West,"3,227",4.2
E05001817 : Oakham South East,"2,530",14.5
E05001818 : Oakham South West,"2,259",9.6
E05001819 : Ryhall and Casterton,"2,880",0.8
E05001820 : Uppingham,"4,745",6.1
E05001821 : Whissendine,"1,253",0.8
E05003280 : Alfreton,"7,971",17.4
E05003281 : Alport,"2,485",0.5
E05003282 : Belper Central,"5,338",35.2
E05003283 : Belper East,"5,978",31.1
E05003284 : Belper North,"4,844",6.7
E05008520 : Belper South,"5,663",8.5
E05003286 : Codnor and Waingroves,"4,847",9.1
E05003287 : Crich,"2,401",2.0
E05008521 : Duffield,"5,046",6.4
E05003289 : Heage and Ambergate,"5,013",4.0
E05003290 : Heanor and Loscoe,"5,335",19.1
E05008522 : Heanor East,"5,849",32.2
E05003292 : Heanor West,"6,067",40.9
E05003293 : Ironville and Riddings,"5,821",9.6
"E05008523 : Kilburn, Denby and Holbrook","7,346",4.9
E05003295 : Langley Mill and Aldercar,"5,405",7.5
E05003296 : Ripley,"8,852",15.8
E05003297 : Ripley and Marehay,"5,861",24.2
"E05008524 : Shipley Park, Horsley and Horsley Woodhouse","5,975",2.1
E05003299 : Somercotes,"6,255",10.5
E05003300 : South West Parishes,"2,671",0.5
E05003301 : Swanwick,"5,084",10.4
E05003302 : Wingfield,"2,202",1.1
E05003303 : Barlborough,"3,261",2.4
E05003304 : Blackwell,"4,389",6.2
E05003305 : Bolsover North West,"4,047",4.0
E05003306 : Bolsover South,"3,846",5.9
E05003307 : Bolsover West,"3,780",22.6
E05003308 : Clowne North,"3,991",12.8
E05003309 : Clowne South,"3,599",7.2
E05003310 : Elmton-with-Creswell,"6,213",3.6
E05003311 : Pinxton,"4,202",8.7
E05003312 : Pleasley,"3,808",3.6
E05003313 : Scarcliffe,"4,163",1.9
E05003314 : Shirebrook East,"1,683",22.3
E05003315 : Shirebrook Langwith,"1,957",29.5
E05003316 : Shirebrook North West,"2,498",22.6
E05003317 : Shirebrook South East,"2,157",6.1
E05003318 : Shirebrook South West,"2,590",18.4
E05003319 : South Normanton East,"4,497",16.8
E05003320 : South Normanton West,"6,445",11.4
E05003321 : Tibshelf,"4,840",1.8
E05003322 : Whitwell,"3,900",2.6
E05003323 : Barrow Hill and New Whittington,"5,903",5.7
E05003324 : Brimington North,"4,149",19.8
E05003325 : Brimington South,"6,042",11.6
E05003326 : Brockwell,"6,206",39.5
E05003327 : Dunston,"6,303",14.1
E05003328 : Hasland,"6,615",31.5
E05003329 : Hollingwood and Inkersall,"7,693",12.3
E05003330 : Holmebrook,"4,377",40.9
E05003331 : Linacre,"4,077",21.7
E05003332 : Loundsley Green,"3,915",35.1
E05003333 : Lowgates and Woodthorpe,"4,637",5.6
E05003334 : Middlecroft and Poolsbrook,"4,892",14.6
E05003335 : Moor,"4,359",30.4
E05003336 : Old Whittington,"4,181",7.7
E05003337 : Rother,"6,410",42.1
E05003338 : St Helen's,"4,563",31.5
E05003339 : St Leonard's,"7,654",18.8
E05003340 : Walton,"5,668",34.0
E05003341 : West,"6,144",23.3
E05003342 : Ashbourne North,"3,833",3.9
E05003343 : Ashbourne South,"4,804",19.3
E05003344 : Bakewell,"4,763",1.2
E05003345 : Bradwell,"1,843",0.8
E05003346 : Brailsford,"1,677",0.4
E05003347 : Calver,"1,801",1.2
E05003348 : Carsington Water,"1,879",0.3
E05003349 : Chatsworth,"1,670",0.3
E05003350 : Clifton and Bradley,"1,826",0.4
E05003351 : Darley Dale,"5,413",3.2
E05003352 : Dovedale and Parwich,"1,733",0.3
E05003353 : Doveridge and Sudbury,"2,632",0.8
E05003354 : Hartington and Taddington,"1,682",0.2
E05003355 : Hathersage and Eyam,"3,896",0.8
E05003356 : Hulland,"1,780",0.6
E05003357 : Lathkill and Bradford,"1,595",0.4
E05003358 : Litton and Longstone,"1,636",0.5
E05003359 : Masson,"2,989",1.6
E05003360 : Matlock All Saints,"5,322",7.3
E05003361 : Matlock St Giles,"5,418",4.6
E05003362 : Norbury,"1,700",0.3
E05003363 : Stanton,"1,874",1.1
E05003364 : Tideswell,"1,827",1.0
E05003365 : Winster and South Darley,"1,710",0.8
E05003366 : Wirksworth,"5,813",3.5
E05003367 : Abbotsford,"5,241",33.5
E05003368 : Breaston,"4,455",5.5
E05003369 : Cotmanhay,"4,530",43.7
E05003370 : Derby Road East,"5,204",45.8
E05003371 : Derby Road West,"6,198",38.0
E05003372 : Draycott,"4,306",2.3
E05003373 : Hallam Fields,"5,356",22.1
E05003374 : Ilkeston Central,"4,707",27.4
E05003375 : Ilkeston North,"4,174",24.5
E05003376 : Kirk Hallam,"6,216",23.6
E05003377 : Little Eaton and Breadsall,"3,616",1.9
E05003378 : Little Hallam,"4,221",21.0
E05003379 : Long Eaton Central,"6,053",39.7
E05003380 : Nottingham Road,"6,277",12.8
E05003381 : Ockbrook And Borrowash,"7,335",8.6
E05003382 : Old Park,"4,195",48.9
E05003383 : Sandiacre North,"4,956",15.9
E05003384 : Sandiacre South,"3,933",29.7
E05003385 : Sawley,"6,629",20.3
E05003386 : Stanley,"2,100",4.3
E05003387 : West Hallam and Dale Abbey,"4,980",3.0
E05003388 : Wilsthorpe,"7,399",36.3
E05003389 : Barms,"1,945",9.8
E05003390 : Blackbrook,"3,920",1.2
E05003391 : Burbage,"2,540",0.5
E05003392 : Buxton Central,"4,188",50.7
E05003393 : Chapel East,"2,238",1.6
E05003394 : Chapel West,"4,160",13.7
E05003395 : Corbar,"3,685",4.2
E05003396 : Cote Heath,"3,966",4.4
E05003397 : Dinting,"1,731",8.0
E05003398 : Gamesley,"2,531",29.8
E05003399 : Hadfield North,"2,003",30.0
E05003400 : Hadfield South,"4,302",26.1
E05003401 : Hayfield,"2,056",0.8
E05003402 : Hope Valley,"3,880",0.2
E05003403 : Howard Town,"4,171",41.5
E05003404 : Limestone Peak,"2,233",0.8
E05003405 : New Mills East,"3,939",5.4
E05003406 : New Mills West,"4,229",8.7
E05003407 : Old Glossop,"4,748",25.7
E05003408 : Padfield,"2,796",15.9
E05003409 : St John's,"1,781",0.3
E05003410 : Sett,"2,006",1.2
E05003411 : Simmondley,"4,727",21.7
E05003412 : Stone Bench,"4,573",17.4
E05003413 : Temple,"1,789",9.9
E05003414 : Tintwistle,"2,101",0.4
E05003415 : Whaley Bridge,"6,455",4.6
E05003416 : Whitfield,"2,199",16.2
E05003417 : Ashover,"1,905",0.5
E05003418 : Barlow and Holmesfield,"1,891",0.5
E05003419 : Brampton and Walton,"3,676",0.9
E05003420 : Clay Cross North,"5,707",6.3
E05003421 : Clay Cross South,"3,747",15.7
E05003422 : Coal Aston,"3,284",13.9
E05003423 : Dronfield North,"4,142",17.2
E05003424 : Dronfield South,"5,328",21.9
E05003425 : Dronfield Woodhouse,"3,435",7.6
E05003426 : Eckington North,"3,595",12.8
E05003427 : Eckington South,"3,791",6.8
E05003428 : Gosforth Valley,"5,072",22.5
E05003429 : Grassmoor,"3,850",5.6
E05003430 : Holmewood and Heath,"3,732",4.3
E05003431 : Killamarsh East,"3,739",11.3
E05003432 : Killamarsh West,"5,706",19.2
E05003433 : North Wingfield Central,"5,726",12.8
E05003434 : Pilsley and Morton,"5,207",3.2
E05003435 : Renishaw,"2,719",7.4
E05003436 : Ridgeway and Marsh Lane,"1,750",1.1
E05003437 : Shirland,"5,592",2.5
E05003438 : Sutton,"4,076",2.1
E05003439 : Tupton,"3,992",10.1
E05003440 : Unstone,"1,876",1.8
E05003441 : Wingerworth,"5,485",11.4
E05008809 : Aston,"6,666",1.6
E05008810 : Church Gresley,"6,881",20.2
E05008811 : Etwall,"5,584",1.0
E05008812 : Hatton,"2,563",17.7
E05008813 : Hilton,"9,528",2.1
E05008814 : Linton,"4,993",2.1
E05008815 : Melbourne,"5,089",2.5
E05008816 : Midway,"8,357",25.2
E05008817 : Newhall and Stanton,"8,245",12.1
E05008818 : Repton,"5,603",0.9
E05008819 : Seales,"5,262",1.3
E05008820 : Stenson,"4,328",5.9
E05008821 : Swadlincote,"7,848",29.2
E05008822 : Willington and Findern,"4,531",3.8
E05008823 : Woodville,"9,133",8.2
E05005408 : Blaby South,"4,705",17.9
E05005409 : Cosby with South Whetstone,"4,761",3.2
E05005410 : Countesthorpe,"6,647",4.5
E05005411 : Croft Hill,"2,148",1.8
E05005412 : Ellis,"5,001",14.4
E05005413 : Enderby and St John's,"4,692",3.9
E05005414 : Fairestone,"4,642",29.3
E05005415 : Forest,"7,128",26.8
E05005416 : Millfield,"2,651",35.8
E05005417 : Muxloe,"4,258",6.1
E05005418 : Narborough and Littlethorpe,"5,301",16.8
E05005419 : Normanton,"2,563",1.5
E05005420 : North Whetstone,"5,311",22.7
E05005421 : Pastures,"4,769",16.8
E05005422 : Ravenhurst and Fosse,"7,093",40.2
E05005423 : Saxondale,"7,678",14.7
E05005424 : Stanton and Flamville,"7,461",3.0
E05005425 : Winstanley,"7,106",29.0
E05005426 : Anstey,"6,528",13.1
E05005427 : Barrow and Sileby West,"6,534",5.8
E05005428 : Birstall Wanlip,"5,902",11.6
E05005429 : Birstall Watermead,"6,619",31.9
E05005430 : East Goscote,"2,866",15.3
E05005431 : Forest Bradgate,"3,422",0.9
E05005432 : Loughborough Ashby,"6,487",54.8
E05005433 : Loughborough Dishley and Hathern,"6,061",7.0
E05005434 : Loughborough Garendon,"5,829",16.0
E05005435 : Loughborough Hastings,"6,004",17.0
E05005436 : Loughborough Lemyngton,"6,504",13.6
E05005437 : Loughborough Nanpantan,"5,440",13.7
E05005438 : Loughborough Outwoods,"5,697",10.1
E05005439 : Loughborough Shelthorpe,"7,416",24.2
E05005440 : Loughborough Southfields,"6,725",39.5
E05005441 : Loughborough Storer,"6,070",59.3
E05005442 : Mountsorrel,"6,907",35.6
E05005443 : Queniborough,"3,018",0.9
E05005444 : Quorn and Mountsorrel Castle,"6,493",5.9
E05005445 : Rothley and Thurcaston,"6,188",3.5
E05005446 : Shepshed East,"6,519",7.2
E05005447 : Shepshed West,"6,986",7.7
E05005448 : Sileby,"7,257",9.0
E05005449 : Syston East,"6,243",35.3
E05005450 : Syston West,"6,561",12.7
E05005451 : The Wolds,"3,155",0.7
E05005452 : Thurmaston,"9,668",20.7
E05005453 : Wreake Villages,"3,001",0.9
E05005454 : Billesdon,"1,863",0.3
E05005455 : Bosworth,"2,557",0.6
E05005456 : Broughton Astley-Astley,"2,324",30.3
E05005457 : Broughton Astley-Broughton,"2,840",12.4
E05005458 : Broughton Astley-Primethorpe,"1,772",5.4
E05005459 : Broughton Astley-Sutton,"2,004",5.5
E05005460 : Dunton,"2,200",0.7
E05005461 : Fleckney,"4,894",9.5
E05005462 : Glen,"4,358",1.2
E05005463 : Kibworth,"6,823",1.7
E05005464 : Lubenham,"2,949",0.7
E05005465 : Lutterworth Brookfield,"2,328",28.1
E05005466 : Lutterworth Orchard,"2,227",4.2
E05005467 : Lutterworth Springs,"2,297",10.7
E05005468 : Lutterworth Swift,"2,501",9.2
E05005469 : Market Harborough-Great Bowden and Arden,"7,296",6.1
E05005470 : Market Harborough-Little Bowden,"5,055",12.3
E05005471 : Market Harborough-Logan,"4,155",27.5
E05005472 : Market Harborough-Welland,"6,405",29.9
E05005473 : Misterton,"2,587",0.5
E05005474 : Nevill,"2,308",0.4
E05005475 : Peatling,"2,348",0.5
E05005476 : Thurnby and Houghton,"6,980",3.0
E05005477 : Tilton,"2,030",0.2
E05005478 : Ullesthorpe,"2,281",1.0
E05005479 : Ambien,"3,455",0.7
"E05005480 : Barlestone, Nailstone and Osbaston","3,250",1.9
E05005481 : Barwell,"9,022",10.6
E05005482 : Burbage St Catherines and Lash Hill,"5,706",16.9
E05005483 : Burbage Sketchley and Stretton,"8,862",9.6
"E05005484 : Cadeby, Carlton and Market Bosworth with Shackerstone","3,492",0.9
E05005485 : Earl Shilton,"10,047",12.2
E05005486 : Groby,"6,796",8.2
E05005487 : Hinckley Castle,"6,041",36.3
E05005488 : Hinckley Clarendon,"8,709",21.9
E05005489 : Hinckley De Montfort,"9,451",18.2
E05005490 : Hinckley Trinity,"6,480",14.5
"E05005491 : Markfield, Stanton and Fieldhead","5,681",3.7
E05005492 : Newbold Verdon with Desford and Peckleton,"8,009",1.8
"E05005493 : Ratby, Bagworth and Thornton","7,073",2.7
E05005494 : Twycross and Witherley with Sheepy,"3,004",0.5
E05005495 : Asfordby,"3,286",3.1
E05005496 : Bottesford,"3,587",1.3
E05005497 : Croxton Kerrial,"1,803",0.2
E05005498 : Frisby-on-the-Wreake,"1,776",0.4
E05005499 : Gaddesby,"1,747",0.4
E05005500 : Long Clawson and Stathern,"4,226",0.7
E05005501 : Melton Craven,"3,575",11.0
E05005502 : Melton Dorian,"5,373",10.8
E05005503 : Melton Egerton,"3,995",11.2
E05005504 : Melton Newport,"5,092",10.3
E05005505 : Melton Sysonby,"5,541",15.1
E05005506 : Melton Warwick,"3,582",13.7
E05005507 : Old Dalby,"1,934",0.6
E05005508 : Somerby,"1,756",0.4
E05005509 : Waltham-on-the-Wolds,"1,575",0.5
E05005510 : Wymondham,"1,528",0.2
E05005511 : Appleby,"2,252",0.6
E05005512 : Ashby Castle,"2,679",15.4
E05005513 : Ashby Holywell,"5,070",5.2
E05005514 : Ashby Ivanhoe,"4,781",5.5
E05005515 : Bardon,"3,373",5.6
E05005516 : Breedon,"2,399",0.7
E05005517 : Castle Donington,"7,254",2.7
E05005518 : Coalville,"5,988",24.3
E05005519 : Greenhill,"6,907",4.2
E05005520 : Hugglescote,"4,792",5.8
E05005521 : Ibstock and Heather,"7,121",4.8
E05005522 : Kegworth and Whatton,"4,725",2.2
E05005523 : Measham,"5,209",7.4
E05005524 : Moira,"4,922",3.8
E05005525 : Oakthorpe and Donisthorpe,"2,637",3.6
E05005526 : Ravenstone and Packington,"2,522",1.2
E05005527 : Snibston,"5,143",16.8
E05005528 : Thringstone,"4,367",16.9
E05005529 : Valley,"4,460",1.3
E05005530 : Whitwick,"6,867",13.1
E05005531 : Oadby Brocks Hill,"3,953",19.6
E05005532 : Oadby Grange,"6,607",22.5
E05005533 : Oadby St Peter's,"4,225",21.2
E05005534 : Oadby Uplands,"4,423",37.9
E05005535 : Oadby Woodlands,"4,641",27.3
E05005536 : South Wigston,"7,490",23.7
E05005537 : Wigston All Saints,"5,899",22.3
E05005538 : Wigston Fields,"6,462",41.7
E05005539 : Wigston Meadowcourt,"5,898",11.7
E05005540 : Wigston St Wolstan's,"6,572",50.4
E05005541 : Central,"2,558",35.5
E05005542 : Coastal,"3,877",0.7
E05005543 : Fenside,"4,468",24.9
E05005544 : Fishtoft,"6,000",2.9
E05005545 : Five Village,"3,883",0.6
E05005546 : Frampton and Holme,"1,671",0.6
E05005547 : Kirton,"4,999",2.2
E05005548 : North,"3,867",6.2
E05005549 : Old Leake and Wrangle,"3,419",0.7
E05005550 : Pilgrim,"2,182",23.5
E05005551 : Skirbeck,"5,619",46.3
E05005552 : South,"2,617",9.5
E05005553 : Staniland South,"3,657",43.6
E05005554 : Staniland North,"2,031",50.3
E05005555 : Swineshead and Holland Fen,"3,773",0.4
E05005556 : West,"2,063",17.2
E05005557 : Witham,"4,206",17.9
E05005558 : Wyberton,"3,747",2.4
E05005559 : Alford,"4,531",1.1
E05005560 : Binbrook,"1,831",0.3
E05005561 : Burgh le Marsh,"2,340",1.3
E05005562 : Chapel St Leonards,"4,674",1.9
E05005563 : Coningsby and Tattershall,"6,943",2.1
E05005564 : Croft,"2,288",0.4
E05005565 : Frithville,"1,920",0.3
E05005566 : Grimoldby,"2,181",0.8
E05005567 : Halton Holegate,"2,495",0.4
E05005568 : Holton le Clay,"3,691",6.0
E05005569 : Horncastle,"7,073",6.2
E05005570 : Hundleby,"2,107",0.2
E05005571 : Ingoldmells,"2,392",1.5
E05005572 : Legbourne,"1,891",0.1
E05005573 : Ludford,"2,128",0.2
E05005574 : Mablethorpe Central,"1,983",6.7
E05005575 : Mablethorpe East,"2,005",30.3
E05005576 : Mablethorpe North,"2,028",2.8
E05005577 : Mareham le Fen,"2,123",0.3
E05005578 : Marshchapel,"2,194",0.4
E05005579 : North Holme,"2,274",6.8
E05005580 : North Somercotes,"1,963",0.5
E05005581 : North Thoresby,"1,933",0.5
E05005582 : Priory,"2,350",37.9
E05005583 : Roughton,"2,270",0.2
E05005584 : St Clement's,"5,594",12.1
E05005585 : St James',"2,431",37.6
E05005586 : St Margaret's,"2,530",36.8
E05005587 : St Mary's,"2,005",5.9
E05005588 : St Michael's,"2,425",11.3
E05005589 : Scarbrough,"4,840",13.5
E05005590 : Seacroft,"4,208",12.3
E05005591 : Sibsey,"1,979",0.9
E05005592 : Skidbrooke with Saltfleet Haven,"2,066",0.3
E05005593 : Spilsby,"3,045",6.1
E05005594 : Stickney,"2,357",0.4
E05005595 : Sutton on Sea North,"2,087",7.6
E05005596 : Sutton on Sea South,"2,269",5.2
E05005597 : Tetford,"2,196",0.2
E05005598 : Tetney,"2,449",0.7
E05005599 : Trinity,"2,404",47.1
E05005600 : Trusthorpe and Mablethorpe South,"2,159",2.6
E05005601 : Wainfleet and Friskney,"4,192",0.6
E05005602 : Willoughby with Sloothby,"2,027",0.3
E05005603 : Winthorpe,"4,937",10.5
E05005604 : Withern with Stain,"1,826",0.2
E05005605 : Woodhall Spa,"4,298",2.1
E05005606 : Wragby,"2,469",0.5
E05005607 : Abbey,"11,426",19.1
E05005608 : Birchwood,"8,520",34.8
E05005609 : Boultham,"7,465",13.4
E05005610 : Bracebridge,"7,289",32.2
E05005611 : Carholme,"13,975",22.6
E05005612 : Castle,"7,540",38.7
E05005613 : Glebe,"7,401",49.5
E05005614 : Hartsholme,"6,471",22.9
E05005615 : Minster,"7,287",32.1
E05005616 : Moorland,"7,504",34.5
E05005617 : Park,"8,663",34.5
E05005618 : Ashby de la Launde and Cranwell,"5,622",0.6
E05005619 : Bassingham and Brant Broughton,"4,707",0.6
"E05005620 : Billinghay, Martin and North Kyme","5,000",0.6
E05005621 : Bracebridge Heath and Waddington East,"9,328",6.2
E05005622 : Branston,"4,934",1.1
E05005623 : Cliff Villages,"5,331",0.6
"E05005624 : Eagle, Swinderby and Witham St Hughs","5,304",0.8
E05005625 : Heckington Rural,"5,353",0.8
E05005626 : Heighington and Washingborough,"6,787",2.5
E05005627 : Kirkby la Thorpe and South Kyme,"2,414",0.4
E05005628 : Leasingham and Rauceby,"2,110",0.6
E05005629 : Metheringham,"5,445",0.6
E05005630 : North Hykeham Forum,"1,939",24.9
E05005631 : North Hykeham Memorial,"2,812",7.3
E05005632 : North Hykeham Mill,"4,180",16.7
E05005633 : North Hykeham Moor,"2,660",29.0
E05005634 : North Hykeham Witham,"2,293",19.0
E05005635 : Osbournby,"2,324",0.2
E05005636 : Ruskington,"5,637",3.5
E05005637 : Skellingthorpe,"3,465",2.6
E05005638 : Sleaford Castle,"2,424",24.5
E05005639 : Sleaford Holdingham,"2,774",4.5
E05005640 : Sleaford Navigation,"2,612",16.3
E05005641 : Sleaford Quarrington and Mareham,"7,046",9.2
E05005642 : Sleaford Westholme,"2,815",14.3
E05005643 : Waddington West,"2,450",7.3
E05005644 : Crowland and Deeping St Nicholas,"6,172",0.5
"E05005645 : Donington, Quadring and Gosberton","7,102",1.0
E05005646 : Fleet,"2,136",0.8
E05005647 : Gedney,"2,351",0.5
E05005648 : Holbeach Hurn,"2,270",0.3
E05005649 : Holbeach Town,"7,346",15.4
E05005650 : Long Sutton,"7,260",1.5
"E05005651 : Moulton, Weston and Cowbit","6,778",0.8
E05005652 : Pinchbeck and Surfleet,"6,793",0.9
E05005653 : Spalding Castle,"2,500",10.7
E05005654 : Spalding Monks House,"5,263",8.3
E05005655 : Spalding St John's,"6,203",44.0
E05005656 : Spalding St Mary's,"4,622",3.9
E05005657 : Spalding St Paul's,"5,488",6.9
E05005658 : Spalding Wygate,"4,646",26.9
E05005659 : Sutton Bridge,"4,454",1.0
E05005660 : The Saints,"2,539",0.6
E05005661 : Whaplode and Holbeach St John's,"4,347",0.7
E05005662 : All Saints,"5,113",45.6
E05005663 : Aveland,"2,258",0.3
E05005664 : Barrowby,"1,952",1.4
E05005665 : Belmont,"5,133",3.3
E05005666 : Bourne East,"8,401",2.6
E05005667 : Bourne West,"6,055",7.3
E05005668 : Deeping St James,"7,051",4.4
E05005669 : Earlesfield,"7,332",32.7
E05005670 : Ermine,"2,830",0.7
E05005671 : Forest,"2,084",0.4
E05005672 : Glen Eden,"2,417",0.2
E05005673 : Grantham St John's,"6,076",14.0
E05005674 : Green Hill,"4,193",22.4
E05005675 : Greyfriars,"4,084",23.0
E05005676 : Harrowby,"5,852",36.5
E05005677 : Heath,"1,887",0.6
E05005678 : Hillsides,"2,235",0.3
E05005679 : Isaac Newton,"2,424",0.4
E05005680 : Lincrest,"2,224",0.3
E05005681 : Loveden,"2,522",0.5
E05005682 : Market and West Deeping,"6,263",4.9
E05005683 : Morkery,"2,444",0.7
E05005684 : Peascliffe,"2,200",2.0
E05005685 : Ringstone,"2,938",1.0
E05005686 : St Anne's,"4,887",19.7
E05005687 : St George's,"4,019",23.8
E05005688 : St Mary's,"4,660",19.5
E05005689 : St Wulfram's,"4,056",28.7
E05005690 : Saxonwell,"2,383",0.7
E05005691 : Stamford St John's,"5,909",21.3
E05005692 : Thurlby,"2,153",1.4
E05005693 : Toller,"2,633",0.8
E05005694 : Truesdale,"4,811",1.0
E05005695 : Witham Valley,"2,309",0.5
E05005696 : Bardney,"2,057",0.6
E05005697 : Caistor,"3,234",0.5
E05005698 : Cherry Willingham,"4,421",3.9
E05005699 : Dunholme,"2,464",0.8
E05005700 : Fiskerton,"2,086",0.4
